img,check,assessor,time,date,img2
211_7_6,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_67,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_83,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_7_85,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_8_11,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_8_5,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
211_8_70,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
245_5_95,1,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
245_8_10,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
245_8_73,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_1_61,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_3_71,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_3_96,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_6_27,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_6_65,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
246_7_12,0,Charlotte,2019-06-04 20:41:40,2019-06-03 20:30:22,-
242_1_14,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:26:50,-
242_1_19,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:26:50,-
242_1_24,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:26:50,-
242_1_26,1,Jean-François,2019-06-04 20:41:40,2019-06-03 20:26:50,-
242_1_38,0,Jean-François,2019-06-04 20:41:40,2019-06-03 20:26:50,-
