img,zone_id,quete,groupe,check,week,question,points,difficulté,type,zone_name,longitude,latitude,date,Make,Aperture,Model,ApertureValue,label,inzone
1_8_89.jpg,8,1,89,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Biéreau-Baraque,4.61584444444444,50.6663555555556,2019:04:26 11:31:30,Apple,2.2,iPhone 6,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>89</b>,2
1_8_98.jfif,8,1,98,1,1,Trouvez une plante à tige carrée,1,facile,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>98</b>,0
10_3_10.jpg,3,10,10,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60388888888889,50.6666666666667,2019:04:25 11:27:21,samsung,1.9,SM-A520F,1.89868424190104,<p>Cette quête à été trouvée par le groupe <b>10</b>,2
10_3_22.JPG,3,10,22,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60557583333333,50.6672552777778,2019:04:25 11:27:38,Sony,2,D6503,NA,<p>Cette quête à été trouvée par le groupe <b>22</b>,2
10_3_23.jpg,3,10,23,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.6058,50.6674194444444,2019:04:24 15:30:11,Apple,2.2,iPhone SE,2.2000000590909,<p>Cette quête à été trouvée par le groupe <b>23</b>,2
10_3_28.JPG,3,10,28,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60578611111111,50.6674638888889,2019:04:25 16:16:56,Apple,2.2,iPhone SE,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>28</b>,2
10_3_45.jpg,3,10,45,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.61305665944444,50.6669540402778,2019:04:24 15:30:24,HUAWEI,2.2,WAS-LX1A,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>45</b>,2
10_3_49.jpg,3,10,49,0,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>49</b>,0
10_3_63.jpg,3,10,63,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60583333333333,50.6675,2019:04:24 15:38:28,samsung,1.7,SM-G930F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>63</b>,2
10_3_81.jpg,3,10,81,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60583333333333,50.6661111111111,2019:04:24 15:33:43,samsung,1.7,SM-G930F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>81</b>,2
10_3_86.jpg,3,10,86,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60560035694444,50.6673965452778,2019:04:25 18:18:42,HUAWEI,1.6,BLA-L29,1.5965967727133,<p>Cette quête à été trouvée par le groupe <b>86</b>,2
10_3_87.jpg,3,10,87,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60583611111111,50.6674,2019:04:25 18:18:45,Apple,2.4,iPhone XS Max,2.39999999944472,<p>Cette quête à été trouvée par le groupe <b>87</b>,2
10_3_9.jpg,3,10,9,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lac,4.60568833333333,50.6672752777778,2019:04:25 18:21:03,Nokia,2.4,Lumia 520,2.39999932487398,<p>Cette quête à été trouvée par le groupe <b>9</b>,2
10_6_105.jpg,6,10,105,-3,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lauzelle-Centre,4.61416666666667,50.6705555555556,2019:04:24 09:42:19,samsung,2.4,SM-G960F,2.39495740923786,<p>Cette quête à été trouvée par le groupe <b>105</b>,2
10_6_44.jpg,6,10,44,-3,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lauzelle-Centre,4.615,50.6708333333333,2019:04:26 10:59:56,samsung,1.7,SM-G950F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>44</b>,2
10_6_76.jpg,6,10,76,0,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Lauzelle-Centre,4.61416666666667,50.6705555555556,2019:04:24 09:42:44,samsung,2.4,SM-G960F,2.39495740923786,<p>Cette quête à été trouvée par le groupe <b>76</b>,2
10_8_59.jpg,8,10,59,0,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Biéreau-Baraque,4.61707777777778,50.66555,2019:04:24 08:38:07,Apple,1.8,iPhone 8,1.79999999993144,<p>Cette quête à été trouvée par le groupe <b>59</b>,2
10_8_72.jpg,8,10,72,1,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Biéreau-Baraque,4.614852905,50.6636352538889,2019:04:24 08:51:46,HUAWEI,2.2,PRA-LX1,2.1961856275741,<p>Cette quête à été trouvée par le groupe <b>72</b>,2
10_8_89.jpg,8,10,89,-3,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Biéreau-Baraque,4.615,50.6655555555556,2019:04:24 19:24:49,samsung,1.7,SM-G955F,1.6993699982773,<p>Cette quête à été trouvée par le groupe <b>89</b>,2
10_8_98.jfif,8,10,98,-3,1,Trouvez une plante parasite ou hémi-parasite,2,moyen,végétal,Biéreau-Baraque,NA,NA,NA,NA,NA,NA,NA,<p>Cette quête à été trouvée par le groupe <b>98</b>,0
100_3_78.jpeg,3,100,78,0,1,Trouvez des fleurs à anthères bleues,2,moyen,végétal,Lac,NA,NA,2019:04:25 11:42:28,Apple,2.2,iPhone SE,2.20000000038133,<p>Cette quête à été trouvée par le groupe <b>78</b>,0
